i,j,k,x_m,y_m,depth_m,Sw,So,permeability_md
31,4,1,305.0,35.0,0.5,0.639047521801194,0.36095247819880605,833.3333333333333
32,4,1,315.0,35.0,0.5,0.6361493053839661,0.3638506946160339,833.3333333333333
33,4,1,325.0,35.0,0.5,0.6333081401647752,0.3666918598352248,833.3333333333333
34,4,1,335.0,35.0,0.5,0.6305091604890638,0.3694908395109362,833.3333333333333
35,4,1,345.0,35.0,0.5,0.6277636375326263,0.3722363624673737,833.3333333333333
36,4,1,355.0,35.0,0.5,0.6250554143592868,0.3749445856407132,833.3333333333333
37,4,1,365.0,35.0,0.5,0.6223973162226556,0.3776026837773444,833.3333333333333
38,4,1,375.0,35.0,0.5,0.6197777230470526,0.3802222769529474,833.3333333333333
39,4,1,385.0,35.0,0.5,0.6172060028800589,0.3827939971199411,833.3333333333333
40,4,1,395.0,35.0,0.5,0.6146758390605471,0.3853241609394529,833.3333333333333
41,4,1,405.0,35.0,0.5,0.6121943365889385,0.3878056634110615,833.3333333333333
42,4,1,415.0,35.0,0.5,0.6097574422626953,0.39024255773730465,833.3333333333333
43,4,1,425.0,35.0,0.5,0.6073722856416242,0.39262771435837585,833.3333333333333
44,4,1,435.0,35.0,0.5,0.605022757811533,0.39497724218846697,833.3333333333333
45,4,1,445.0,35.0,0.5,0.6026106162044733,0.3973893837955267,833.3333333333333
46,4,1,455.0,35.0,0.5,0.5999604775215622,0.40003952247843777,833.3333333333333
47,4,1,465.0,35.0,0.5,0.5968237375636295,0.4031762624363705,833.3333333333333
48,4,1,475.0,35.0,0.5,0.5924762044913159,0.4075237955086841,833.3333333333333
49,4,1,485.0,35.0,0.5,0.5856491994468702,0.4143508005531298,833.3333333333333
50,4,1,495.0,35.0,0.5,0.5741673019923886,0.42583269800761137,833.3333333333333
1,5,1,5.0,45.0,0.5,0.7974887541779077,0.20251124582209235,833.3333333333333
2,5,1,15.0,45.0,0.5,0.7915065691840049,0.20849343081599514,833.3333333333333
3,5,1,25.0,45.0,0.5,0.7834935229770347,0.21650647702296533,833.3333333333333
4,5,1,35.0,45.0,0.5,0.7745650915866737,0.22543490841332625,833.3333333333333
